"glossary_term","glossary_translation","source","target","file","location"
"map","Kartenn","Sorry, this map is not yet implemented.","Digarezit, ar gartenn-mañ n'emañ ket c'hoazh emblementet.","scenario_dummy.wmf","../../data/campaigns/dummy.wmf/scripting/init.lua:14"
"map","Kartenn","The map has not been saved, do you really want to quit?","N'eo ket bet enrollet ar gartenn, ha sur oc'h e fell deoc'h mont kuit?","widelands","../../src/editor/editorinteractive.cc:590"
"map","Kartenn","Loading map “%s”…","O kargañ ar gartenn “%s”…","widelands","../../src/editor/editorinteractive.cc:1077"
"Tavern","Tavarn","The Tavern is Burning!","Emañ o teviñ an davarn!","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:37"
"Farm","Ti-feurm","Build a farm and a blackroot farm","Savit un atant hag un atant wriziennzu","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:57"
"directory","kavlec'hiad","A file or directory with that name already exists.","Bez ez eus ur restr pe ur c'havlec'hiad gant an anv-mañ dija.","widelands","../../src/editor/ui_menus/main_menu_save_map.cc:171"
"directory","kavlec'hiad","Error while creating directory ‘%s’.","Fazi en ur sevel ar c'havlec'hiad ‘%s’.","widelands","../../src/editor/ui_menus/main_menu_save_map.cc:185"
"directory","kavlec'hiad","Enter Directory Name:","Bizskrivit anv ar c'havlec'hiad:","widelands","../../src/editor/ui_menus/main_menu_save_map_make_directory.cc:51"
"building","savadur","Ensure the supply of building wares","Asurit pourvezioù marc'hadourezhioù ar sevel-tiez","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:29"
"building","savadur","Ensure the supply of building wares","Asurit pourvezioù marc'hadourezhioù ar sevel-tiez","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:29"
"building","savadur","Supply Building Wares","Pourchas Pourvezioù Sevel-Tiez","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:31"
"building","savadur","Supply Building Wares","Pourchas Pourvezioù Sevel-Tiez","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:31"
"building","savadur","Start building mines on the mountain","Kregiñ gant sevel mengleuzioù war ar menez","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:39"
"building","savadur","Start building mines on the mountain","Kregiñ gant sevel mengleuzioù war ar menez","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:39"
